sale_price,sale_date,city,state,lat,lng
88000,2013-02-14,OLD HICKORY,TN,36.254246,-86.652195
112000,2013-02-22,OLD HICKORY,TN,36.240795,-86.640526
131300,2013-02-15,OLD HICKORY,TN,36.237542,-86.634264
55000,2013-02-04,OLD HICKORY,TN,36.160733,-86.924996
124000,2013-02-01,HERMITAGE,TN,36.205086,-86.596426
164900,2013-02-15,NASHVILLE,TN,36.176872,-86.696488
119600,2013-02-22,NASHVILLE,TN,36.176444,-86.695312
144000,2013-02-18,NASHVILLE,TN,36.172965,-86.68574
145000,2013-02-15,HERMITAGE,TN,36.190671,-86.581191
152000,2013-02-08,NASHVILLE,TN,36.168945,-86.694042
136250,2013-02-12,NASHVILLE,TN,36.158818,-86.682463
112000,2013-02-08,NASHVILLE,TN,36.167368,-86.657182
198000,2013-02-16,NASHVILLE,TN,36.164992,-86.665956
88500,2013-02-07,NASHVILLE,TN,36.155034,-86.657481
149900,2013-02-20,NASHVILLE,TN,36.126508,-86.723599
129900,2013-02-07,NASHVILLE,TN,36.123984,-86.720328
118000,2013-02-15,NASHVILLE,TN,36.120187,-86.721852
91000,2013-02-07,NASHVILLE,TN,36.123822,-86.70302
111000,2013-02-15,NASHVILLE,TN,36.120001,-86.700184
127000,2013-02-14,NASHVILLE,TN,36.09855,-86.667917
137000,2013-02-26,NASHVILLE,TN,36.091936,-86.61457
158000,2013-02-15,NASHVILLE,TN,36.091483,-86.609712
86500,2013-02-07,ANTIOCH,TN,36.071537,-86.674095
95000,2013-02-04,ANTIOCH,TN,36.070816,-86.671451
132000,2013-02-27,ANTIOCH,TN,36.071336,-86.655264
59000,2013-02-15,ANTIOCH,TN,36.082687,-86.602076
35000,2013-02-18,ANTIOCH,TN,36.081101,-86.603392
138200,2013-02-13,ANTIOCH,TN,36.080789,-86.599217
133000,2013-02-26,ANTIOCH,TN,36.079005,-86.598212
123500,2013-02-28,ANTIOCH,TN,36.076261,-86.603721
53150,2013-02-08,ANTIOCH,TN,36.073439,-86.602781
64900,2013-02-15,ANTIOCH,TN,36.074871,-86.607414
58600,2013-02-22,NASHVILLE,TN,36.177186,-86.799984
7000,2013-03-25,NASHVILLE,TN,36.150635,-86.757311
68000,2013-03-20,NASHVILLE,TN,36.126532,-86.758895
160000,2013-03-08,NASHVILLE,TN,36.124122,-86.760211
34000,2013-03-07,NASHVILLE,TN,36.122895,-86.740185
120400,2013-03-09,NASHVILLE,TN,36.115254,-86.745631
52000,2013-03-21,NASHVILLE,TN,36.11954,-86.734843
35000,2013-03-21,NASHVILLE,TN,36.113902,-86.733469
114900,2013-03-25,NASHVILLE,TN,36.104123,-86.743747
141500,2013-03-01,NASHVILLE,TN,36.105958,-86.736918
175000,2013-03-14,NASHVILLE,TN,36.107678,-86.736166
39000,2013-03-20,NASHVILLE,TN,36.098758,-86.740357
109000,2013-03-18,NASHVILLE,TN,36.102916,-86.730478
97900,2013-03-22,NASHVILLE,TN,36.085732,-86.705737
160000,2013-03-01,NASHVILLE,TN,36.084855,-86.703521
252500,2013-03-11,NASHVILLE,TN,36.079149,-86.753063
190000,2013-03-05,NASHVILLE,TN,36.072935,-86.759152
153300,2013-03-19,NASHVILLE,TN,36.066767,-86.759519
178000,2013-03-21,NASHVILLE,TN,36.061887,-86.769623
78000,2013-03-06,NASHVILLE,TN,36.07995,-86.744748
207000,2013-03-15,NASHVILLE,TN,36.076596,-86.736682
257500,2013-03-15,NASHVILLE,TN,36.075633,-86.734586
155000,2013-03-11,NASHVILLE,TN,36.070884,-86.736699
157903,2013-03-22,NASHVILLE,TN,36.066637,-86.725918
163500,2013-03-18,NASHVILLE,TN,36.069338,-86.730306
259900,2013-03-01,NASHVILLE,TN,36.062006,-86.750133
105000,2013-03-12,NASHVILLE,TN,36.078924,-86.707473
139000,2013-03-22,NASHVILLE,TN,36.076108,-86.710065
134000,2013-03-15,NASHVILLE,TN,36.067179,-86.694798
154900,2013-03-08,NASHVILLE,TN,36.064509,-86.706872
